abate|vt.&vi. [正式]（使）减少
lend|vt. [正式] lend sth (to sb/sth) / lend (sb/sth) sth（给一个人或一种情况）增添某种品质或特色
lessen|vt.&vi.（使）变得更少
library|n. [C] [正式] 图书、音乐等的私人收藏（通常只有主人许可才可借阅）
lift|n. [sing.] 上升运动，即抬、举、提、吊等
lift|vt.＆vi. 1 lift sb/sth (up) 升高某人或某物到一个更高的位置或水平，或使某人或某物升高到一个更高的位置或水平
link|vt. link A to/with B / link A and B (together) 常用被动式，在两个物体、机器、地点等之间建立物理联系或电子联系，相当于connect
lot|n. [sing.] [非正式] the lot或the whole lot，指全部数量的人或事物
lower|vt. 把…（缓慢地）放低或降下
lump|vt. ~ A and B together / ~ A (in) with B 把不同的事物放到同一个组里，或将其合起来考虑
make|vt. 成为（某队成员）；得到（某职位）。是一个简单用词，不太常用
make-up|n. [sing.] ~ (of sth) 组成成分；构成方式
mark|vt. [正式] mark sb/sth (as sth) 常用被动式，赋予某人或某事物一个特征或性质，相当于characterize
marry|vt. [正式] marry sth and/to/with sth 使两个不同的事物、观点等成功地结合，相当于unite
marshal|vt. [正式]（为某一目的而）结集、收集一些人、事物或想法等
mass|vt.＆vi. 大量集结到一起；使大量的人或事物聚集到一起
maze|n. [usually sing.] 大量复杂且难懂的规则（或细节）
meet|vt.＆vi. 连接，（尤指两片地域或海域）相接
melt|vi. ~ into sth 逐渐融入（黑暗、人群等）；与…融为一体
member|n. [C] member (of sth) 属于某个群体的一个人、动物或植物，即成员，分子
merger|n. [C] ~ (between/of A and B) / ~ (with sth)（组织机构或公司企业的）合并
mingle|vt.&vi. ~ (A) (with B) / ~ (A and B) (together)（使）（声音、气味、色彩等）混合、混杂；（使）（感情）交织
miscellaneous|adj. 由很多不同种类的事物构成的，且这些事物不易形成一个整体。即混杂的、各种各样的。相当于diverse和various
mix|n. 1 [C, usually sing.] 不同人或事物的组合，即混合；结合；混合体。相当于blend（不过表示不同人所混合成的一个群体时，mix远比mixture常用）
mix|vt.＆vi. mix (A with B) / mix A and B (together) 混合，掺和，融合；使两者或多者混合。（混合后各成分通常不易分离出来）
mixed|adj. 1（好的和坏的东西）混合的、混杂的
mixture|n. 1 [C, usually sing.] 不同事物的结合，混合；混合体
mount|vi. 数量逐渐增加
mount|vt. [正式] 登上、攀登（台阶、平台等）
mouthful|n. [sing.] [非正式] 冗长而拗口的词（或短语）
move|vi. move (on/ahead)（在某个方向上）前进
multiply|vt.＆vi.（数量或数额）成倍增加，迅速增加；使…成倍增加，迅速增加
mushroom|vi. 数目快速增长。是一个形象化用词，不太常用
neat|adj. 简单但聪明灵巧的
number|vt.＆vi. [正式] number (sb/sth) among sth 把…包括在某一群体中；被包括在某一群体中
off|adv. 离开（某地）
off|prep. 1 从某处离开
onto|prep. 被包含在一个清单或体系里，即成为…的一部分
organic|adj. [常用于名词前] [正式]（关联或结构）有机的、各部分能很好地联系在一起的、不可分割的
organism|n. [C]（各部分彼此相依赖的）有机体系
original|n. [C] [正式]（思想、行为、衣着等）不同寻常的人、独特的人
oscillate|vi. ~ (between A and B) [正式] 情感或行为在两个极端之间波动、变化、摇摆。相当于swing
other|adj., pron. 1 用于指另外的人或事物；或（与被提及或为人知晓的人或事物）不同的人或事物，即另外；其他
otherwise|adv. 除此以外
out|adv. 1 out (of sth) 将…（从一个地方、工作职位等）除掉，清除
out|prep. 1 out (of sth) 将…（从一个地方、工作职位等）除掉，清除
outburst|n. [C]（暴力活动或态度的）激增
outside|prep. [美尤用outside of] outside of除了，相当于apart from
outside|prep. [美尤用outside of] 不是某事物的一部分，即不属于…
overgrown|adj. [常贬] 发展过快的
pair|vt. pair A with B / pair A and B (together) 常用被动式，指把两个人（或事物）配对，使成对
part|adv. 常构成复合词，指由两部分构成；在一定程度上；部分地
part|n. 1 [U] part of sth 部分。是一个基础用词，也是一个常规用词，含义最为广泛，也最常用
part|n. [C, usually sing., U] …参与到某个行动或情况的方式，即参与，参加
part|vi. [正式] part (from sb)（人）分别；分离
partial|adj. 部分的、不完全的
participant|n. [C] ~ (in sth)（活动的）参加者、参与者
participate|vi. [较正式] participate (in sth) 参加或参与某一活动
participation|n. [U] ~ (in sth) 参加；参与（活动或演出）
particular|adj. 只用于名词前，比平常要更大（或更好、程度更深等）的，不寻常的，格外的，特别的
parting|adj. [只用于名词前] 离别时说的（或做的）
parting|n. 1 [U, C] 离开一个人或地方，即离别、分手
partition|n. [C] 房间内的一堵起隔断作用的墙或屏风
partition|n. [U] 国家的分割、分治、瓜分
partition|vt. [常用被动式] 用隔板等将室内分隔成更小的空间
partly|adv. 一定程度上；部分地
pat|adj. [常贬]（答案、评论等）过于简单容易的、看起来不自然或不现实的
patchy|adj.（美式英语也用spotty）不完整的
peculiar|adj. ~ (to sb/sth)（某人、某地、某种情况等）特有的
peculiarity|n. 1 [C] 怪异的特征
personality|n. [U] 某地或某事物的有趣的或有区别性的特色、特征
pick|vt. 从植物或树上采摘花、水果、叶子等
piece|n. 1 [C] piece (of sth)（尤与of和不可数名词连用）从…上所切下或分离出的一定数量的某事物
pledge|vt.&vi. [美] 宣誓参加美国大学生联谊会
pluck|vt. ~ sth (from sth) [文学] 采摘、掐（水果、花等）
plummet|vi.（数量、比率、价格等）突然且迅速地大幅下跌
plunge|n. [usually sing.] ~ (in sth)（数量、价值）突然降低，即骤减
plunge|vi.（价格、温度等）突然快速地下跌
poach|vt.&vi. ~ (sb/sth) (from sb/sth)（尤指秘密地、耍手段或不公平地）从…处将…弄走（如挖走人员等）
pool|n. [C] pool (of sth) 可被一群有需要的人共享或共用的资源或资金
pool|vt. 从不同的人那里收集资金、信息、知识、设备等（以使大家能够共用这些资源）
portion|n. 1 [C] 部分
portion|vt. ~ sth (out) 把…分成若干份（或部分）
primitive|adj. 非常简单且旧时的，尤指不便或不舒适的，即发展水平低的，相当于crude
prize|vt. [美] 用力量将某事物与其他事物分离开，相当于英式的prise
property|n. [C, usually pl.] [正式] 某事物的特性、性质
proportion|n. [C] 整体的一个部分
prune|vt. ~ sth (back) 削减、精简
pull|vt. pull sth apart 可表示将…拆下或拆开（常指为了再将其以不同的方式组装起来）
pure|adj. 1 常用于名词前，与其他事物不掺杂的；没有添加物的。如纯的。是一个基础和常规用词
purity|n. [U] 纯净
quality|n. [C, U] 事物的特征、特色，尤指使事物区别于别者的特征、特色
quarter|vt. 把…的数量或尺寸减至四分之一
quit|vt.＆vi. 离开你所居住的那个地方，即迁出、搬离
raise|vt. 1 把…提举或移动到一个更高的水平线上
raise|vt. 筹集或筹措资金或召集人员，设法得到或形成…
rally|n. [sing.]（在证券交易中）止跌回升
rally|vi. [金融]（尤指股票价格或一国的货币）价值跌后回升
rally|vt.&vi. ~ (sb/sth) (around/behind/to sb/sth) 集合（或把人们召集起来）以帮助或支持某人或某事物
rebound|vi. [商业]（价格等）（下降后）回升、反弹
recede|vi. 从某人处（或从某个位置）逐渐远离、渐渐远去
redistribution|n. [U] 重新分配
reduce|vt. reduce sth (from sth) (to sth) / reduce sth (by sth) 使某事物的数量、价格等变得更少或更小，即减少，缩小。是此义的常规用词之一，在词义上与decrease有很大交集，不过decrease还可以是不及物动词
reduction|n. [C, U] ~ (in sth) 减少
reduction|n. [C, U] ~ (in sth) 降低
refined|adj. [常用于名词前]（一种物质）提纯的，即精炼的、精制的
refinement|n. [U] 设计上的精巧
reinforce|vt. 通过派遣更多人员或给予更多装备而使军队等更强大，如增兵
remainder|n. 1 [sing.]（通常用the remainder）其余的人员、事物或时间
resolve|vt.&vi. resolve into sth / resolve sth into sth（使）分解
rest|n. 1 [sing.] the rest (of sth) 某事物剩余的部分，即其余
restrained|adj.（穿着、装饰等）简单的
retire|vi. [正式] 军队从战斗中撤退（以进行休整）
retire|vi. [正式] 离开一个地方（尤指去一个更安静或更私密的地方）
retreat|n. [C, usually sing., U] 从一地的离开
retreat|vi. 离开、离去
retreat|vi.（因为处于危险之中或被打败而从一个地方）撤退，尤指军事撤退
reunion|n. [U] 重新成为一个群体（或组织机构），如重新结合、再度联合
ring|n. [sing.] ring (of sth)（言语、声音等所具有的）某种品质或特性
ripple|n. 1 [C]（外观或运动）如波纹的东西
ripple|vt.&vi.（使）如波浪般起伏
rise|n. 1 [C] rise (in sth)（数量或水平的）增加，提高
rise|vi. 1 上升；攀升；提高；达到较高的水平或位置
rocket|vi. 突然且快速地增长，相当于shoot up
rollback|n. [sing., U] [尤美] 价格或工资等的回落、下跌（即下跌到原来的水平）
rough|adj. 制作得简单粗糙的，不够精细的；朴素朴实的、简单基本的
rounded|adj. [常用于名词前] [褒] 全面的；全面发展的；一应俱全的；完善的
rude|adj. [文学] 制作得简单的、粗糙原始的，相当于primitive
running|adj. 不断增加的；持续增长的
rustic|adj. 用粗糙的木材简单做成的
sag|vi. 减少
save|conj. 为旧时用法或正式用法，意思为“除了…”
save|prep. 也可叫save for，为旧时用法或正式用法，意思为“除了…”
save|vt. 因喜欢或为某一特殊目的而收集，收藏
scale|vt. [正式] 攀登到又高又陡的事物顶端
scramble|n. [sing.]（尤指需要手脚并用的）艰难攀爬
scramble|vi. 在手的帮助下快速移动，如爬、攀登，尤指吃力地爬
screen|n. 1 [C]（固定或移动的）能隔出一间屋子（或把…挡起来）的隔板、屏风、幕帘、帐等
seal|vt. seal from 使与…隔绝
second|det., ordinal number 只作前置定语，另外的，外加的，除了你已经拥有或使用的以外还有…的
section|n. [C] 某事物被划分后所形成的各部分之一
section|vt. 将…划分或切分成若干部分
sector|n. [C] 部分
segment|n. [C] 从其他部分中分离出来的部分（该部分可以单独考量）
segment|vt. [常用被动式] [术语] 把某事物划分或分割成不同的部分
segregate|vt. ~ sb (from sb) 隔离并区别对待不同种族、宗教、性别等具有不同特征的人
segregation|n. 1 [U]（对不同种族、宗教或性别的人所采取的）隔离并区别对待，隔离政策
self-contained|adj. [英] [常用于名词前]（公寓等住宿场所）有自己的厨房、盥洗室和入口的，即独门独户的、设施齐全的
separable|adj. 1 ~ (from sth) 可分开的、可分离的、可分隔的
separate|adj. separate (from sth/sb) 自己形成一个独立单元的，不与其他事物联结的，即单独的，独立的，分开的
separate|adj. 常用于名词前，不相关的
separate|vt.＆vi. separate (sth) (from/and sth)（事物自己）划分成不同的部分或组；将某事物划分成不同的部分或组
separate|vt.＆vi. separate sb/sth (from/and sb/sth) 分离，分散；使一些人或事物分离或分散
separation|n. 1 [U, sing.] separation (from sb/sth) / separation (between A and B) 将人们或一些事物所做的分离、分割、隔离；所处的被分开（或独立）的状态
settle|vi. 在一个组织内安定下来
several|adj. [正式] 各自的。不太常用
share|n. 1 [C, usually sing.] 在两人或更多人之间所分得的某事物的一部分，即一份，是一个常规用词
share|vt.＆vi. 1 share sth (with sb) 与其他人同时拥有（或使用）某事物，即共有、共用
share|vt.＆vi. share (in) sth / share sth (with sb) 共同承担或分担（责任、责罚等）
shed|vt. 减掉（不想要的东西）
sheer|adj. 非常陡峭的
shin|vi. [英] [美用shinny] [非正式] shin up/down sth 用手和腿快速地向上（或向下）攀爬
shred|n. [usually pl.]（撕或切的）小薄片
signature|n. [C, usually sing.] 使某事物与其他类似事物区别开来（或使其易于辨识）的某个品质或特征
simple|adj. 1 不复杂的；易于理解或容易做的。即简单的，相当于easy。是一个常规用词
simplicity|n. 1 [U] 容易理解或使用，即简单性、容易性
simplification|n. 1 [U, sing.] 简化
simplify|vt. 使某事做起来（或理解起来）容易，如使简化，使简易
simplistic|adj. [贬]（观点、阐述、问题、情况等）过分简化的
sink|vi. 1（在数量、体积、强度等方面）减少、降低或减弱
skip|vt. 悄悄地或突然地离开一个地方
slash|vt. [常用被动式]（常用于报章）大量削减
slice|n. [C] [非正式] 某事物的一个部分或份额
slice|vt. [美，非正式] 大量削减
sling|vt.&vi. [非正式] [常用被动式] 用武力使某人到某处，如遣送、押送；使某人离开某地，如撵走、驱逐
slip|n. [sing.] 下降
slump|n. [C]（销量、价格、价值等的）骤降、锐减
slump|vi. ~ (by sth) / ~ (from sth) (to sth)（价格、价值、数量等）突然大幅下降
smooth|adj.（某种液体混合物）没有任何结块的，混合均匀的
soar|vi.（价值、数额、水平、规模等）急速上升
sole|adj.（控制权或所有权）属于一个人或群体的，不与别人共有的。如独占的、专有的
solicit|vt.&vi. ~ sth (from sb) / ~ (sb) (for sth) [正式] 筹集、募集（钱款）
solid|adj. 只作前置定语，完全由某种材料制成的，即纯…的
solidarity|n. [U] ~ (with sb)（因有相同的感情、观点、目标等而）对…表示支持，如团结、同心同德，尤指政治或国际事务中的团结一致、相互支持
solitary|adj. 1 [常用于名词前] 独自做某事的
solitude|n. [U]（尤指平静愉快的）独处、独居。相当于privacy
solo|adj. [只用于名词前] 只由一个人完成的，没有任何其他人帮助的，即独自的
some|pron. some (of sb/sth) 所考虑的全部数量中的一部分，即有些，有的，部分等
sophisticated|adj.（机器、体系等）复杂巧妙的
sophistication|n. [U]（机器、方法等的）复杂
span|vt. 包括一大片地区；包含很多事物
special|adj. 1 通常用于名词前，不是通常的，不同于一般的，如特殊的，特别的，不寻常的，不一般的，相当于exceptional
special|n. [C] 人们通常不能获得，而只针对某一目的（或在某一场合）来提供的东西，如特别活动（或节目），特制产品等
specialization|n. [U] 专业化；专门化
specialized|adj. 为某一目的或某一知识领域而设计或研发的，如专用的、专门的、专业化的
specific|adj. [正式] specific to sth 只存在于一个地方，或只限定在同一事物上的，即特有的，独特的，相当于peculiar
spiral|n. [C]（有害的事情）（通常越来越快的）逐渐上升
spiral|n. [C]（有害的事情）（通常越来越快的）逐渐下降
spiral|vi. 螺旋式上升，盘旋式上升
spiral|vi. 螺旋式下降，盘旋式上下降
splinter|vi. 从一群人中分裂或分离出来一些小群体
split|n. [C] 人员之间的分离
split|n. [sing.] 从某事物中划分出的一个部分（如份额）
split|n. [sing.]（两个或多个事物之间的）划分
split|vi. [旧时，非正式] 迅速离开一个地方
split|vt. split sth (between sb/sth) / split sth (with sb) 将某事物划分成两个或多个部分，并在不同的人们、活动等之间分享
split|vt. split sth (between sb/sth) / split sth (with sb) 将某事物划分成两个或多个部分，并在不同的人们、活动等之间分摊或分担
split|vt.＆vi. split (sth) (into sth) 划分成两个或多个部分；使某事物划分成两个或多个部分
split|vt.＆vi. 分裂成持有不同观点的组别或派别；使一群人分裂成持有不同观点的组别或派别
spread|vt. spread sth (out) (over sth) 把…划分成各部分后分配到不同的时间（即分若干次来进行），或分配给不同的人等（即分摊）
sprinkle|vt. [常用被动式] ~ sth with sth 使某物包含少量的另一物
spurt|n. 1 [C]（干劲儿的）短时突然增加，如爆发
spurt|n. [pl.] in ~s（某事的发生）时有时无、一阵一阵地
steep|adj. 1（斜坡、山等）陡的；陡峭的
stir|vi. ~ from 用于否定式，表示离开（一个地方）
stir|vt. ~ sth (into sth) / ~ sth (in) 搅动、搅和、搅拌（液体或物质，使其彻底混合）
stoppage|n. [pl.] [过时，英，正式] stoppages可指（工资中用于纳税等的）扣除款
strand|n. [C]（观点、计划、故事、理论等的）部分
stray|adj. [只用于名词前] 与同类中的其它事物或人相互分离的，如孤立的、离群的、走散的
stretch|vi.（一个群体）包括（各种事物）
string|vt. 用线或细绳等把一系列小物体连（或串）在一起，相当于thread
strip|vt. ~ sth (down) 拆卸机器等（以便清洁或修理）
structure|n. 1 [U, C] 某事物的结构、构造
structure|vt. ~ sth (around sth) 使形成体系；系统安排；精心组织
subdivide|vt.&vi. [常用被动式] ~ (sth) (into sth)（使）再分割成更小的领域、部分、群体等
sum|n. [sing.]（也可用sum total）the ~ of sth 全部，一切（尤指数量不大）
super|adv. [非正式] 尤其，特别，格外
supplement|vt. ~ sth (with sth) 增补、补充（以使…更好或更完整）
supplementary|adj. 补充性的（以改进某事物，或让其变得完整）
surge|n. [C] ~ (in/of sth) 数量的急剧上涨
surge|vi.（价格、利润等）急剧上涨
surround|vt. surround yourself with sb/sth 喜欢身边总有某类人或东西
system|n. [C] 被连接在一起（或在一起运行）的一组事物，如一套设备等，即系统
take|vt. 有足够的空间而装得下，容纳
tangled|adj. 复杂且难以理解的，如纠缠不清的
technicality|n. 1 [pl.] technicalities可指（过程或活动的）（运行方法或原理的）技术性细节
telescope|vt.＆vi. 叠套缩短；使…叠套缩短，叠缩
then|adv. 用于引出附加的信息，即另外，而且
thread|vt. 用长或细的东西把两个或更多物品串在一起，穿成串
to|prep. 去参加（一个活动）
together|adv. 与其他…在一起，共同
together|adv. 以使两个或多个事物相接触或相结合，如到一起
touch|vt.＆vi.（两个或两个以上的东西、表面等之间）没有间隙，即接触；触及
trademark|n. [C]（人的行为或衣着的）典型特征（该特征使其辨识度很高）
trait|n. [C] 某人的个性的某个特点或特征；某事物的某个特点或特征
tremor|n. [C] 一个事件在一个群体或组织机构中引起的波动
trim|vt. 削减、缩减
twin|vt. 1 twin sth (with sth) 常用被动式，在两个城镇（或地区）之间建立紧密关系
umbrella|n. [C] 包含了很多个不同部分或元素的一个东西，即整体，总体，综合体等
unaccompanied|adj. 1 [正式]（人）无人陪伴或同行的
unadulterated|adj. 不掺杂其它物质的，即纯的
unanimous|adj. 1（投票、决定、协议、意见等）一致的，一致同意的
undulate|vi. [正式] 像水波一样轻柔而迷人地上下起伏、波动、荡漾
uneven|adj. 在整体层面上质量不稳定的
unheard-of|adj. 前所未闻的；空前的；极不寻常的
unification|n. [U] 统一
uniformity|n. [U]（一个体系、组织机构、一群国家、在…上所应用的相同的规则、观念、方法等的）统一（性)、一致（性）
union|n. [U, sing.] 把两个或多个事物结合在一起的行为，可称为结合，联合或合并；也可指被合并在一起的状态；还可指两个人结合在一起的行为
unique|adj. 1 非常特殊的，如独特的；非常不寻常的，如罕见的
unite|vi. unite (in sth/in doing sth) / unite (behind/against sb/sth) 与其他人联手组成一个团体来做某事，即联合，团结
united|adj. 1（国家）联合的；统一的
unity|n. 1 [U, sing.]（人、群体或国家的）团结一致、统一、联合
unprecedented|adj. 前所未有的；空前的；没有先例的
unusual|adj. 1 与通常状况不同的，如不寻常的，相当于uncommon
up|adv. 以便聚拢
up|adv. 分开
upsurge|n. [usually sing.] [正式] ~ (in/of sth) 突然且大量的上升，即飙升、急剧增长
upward|adj. 只用于名词前，（数量或价格）上升的
veer|vi.（尤指车辆）突然改变方向
very|adj. 只用于名词前，用于强调你正谈论一个特定的事物或人（而非其他的事物或人），即正是的、恰好的、同一的，相当于actual
wave|n. 1 [C] 某种活动或感情的突然增加，即汹涌的行动或感情
wax|vi. [正式] wax lyrical, wax eloquent, wax sentimental等可表示说话或书写时变得（热情、雄辩、伤感等）起来
way|n. [C] 部分（用于构成合成词）
weld|vt. ~ sb/sth into sth / ~ sth together 将人或事物团结成一个强有力的整体
whatever|det., pron. 任何一，每一；任何事物，一切事物
whip|vt. ~ sth (up) 快速搅打奶油等
whole|adj. 1 只用于名词前，全部的，完全的，所有的，整体的
whole|n. 1 [C] 某事物的整体，整个
wire|vt. 1 wire sb/sth up (to sth) / wire sb/sth to sth 将（某人或某事物）连接到一件设备上（尤指连接到磁带录音机、计算机系统等设备上）
with|prep. 与…在一起
with|prep. 包括
with|prep. 表示与事物或人相分离
work|n. [C] the works 复数，指所有的事物，全套物品
world|n. [usually sing.] 通常与形容词连用，指某个种类中的一切事物，某种生命或存在
yet|adv. yet another, yet more, yet again 用于强调数目、数量或次数的增加
zone|vt. 1 zone sth (for sth) 常用被动式，（根据某个目的）将一片土地划为某一用途
zoom|vi. zoon (up) (to ...)（价格、成本等）快速且突然地大幅上涨，即突然急剧上涨
